Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2017-05-12T18:00:00Z,"SPY",2017-05-12T18:50:00Z,Sell,207.217478874,207.226149787,962,-8.34,9.62,-75.07,108.44,183.51,0,"	1,2" 
2017-05-12T19:00:00Z,"SPY",2017-05-12T19:58:00Z,Sell,207.208807961,207.226149787,962,-16.68,9.62,-33.37,175.17,191.85,0,"	3,4" 
2017-05-15T14:00:00Z,"SPY",2017-05-15T18:40:00Z,Buy,208.127924739,208.093241087,958,-33.23,9.58,-74.76,323.96,398.72,0,"	5,6" 
2017-05-15T19:00:00Z,"SPY",2017-05-15T19:20:00Z,Buy,208.101912,208.119253826,957,16.6,9.57,0,58.09,58.09,1,"	7,8" 
2017-05-15T19:30:00Z,"SPY",2017-05-15T19:58:00Z,Buy,208.162608391,208.301342999,957,132.77,9.57,-49.79,207.45,116.17,1,"	9,10" 
2017-05-16T18:00:00Z,"SPY",2017-05-16T19:45:00Z,Sell,208.084570174,208.223304782,959,-133.05,9.59,-166.31,99.78,266.09,0,"	11,12" 
2017-05-17T15:00:00Z,"SPY",2017-05-17T19:58:00Z,Sell,205.535321752,204.512154018,969,991.45,9.69,-579.75,991.45,680.57,1,"	13,14" 
2017-05-18T14:30:00Z,"SPY",2017-05-18T16:10:00Z,Buy,205.292536188,204.676901365,980,-603.32,9.8,-645.81,178.45,824.26,0,"	15,16" 
2017-05-18T16:30:00Z,"SPY",2017-05-18T17:25:00Z,Buy,204.928357842,204.867661451,976,-59.24,9.76,-194.64,220.03,414.68,0,"	17,18" 
2017-05-18T18:00:00Z,"SPY",2017-05-18T19:58:00Z,Buy,205.266523449,205.361903492,973,92.8,9.73,0,835.24,742.44,1,"	19,20" 
2017-05-19T14:00:00Z,"SPY",2017-05-19T19:25:00Z,Buy,206.3677294,206.610514964,969,235.26,9.69,0,882.22,705.78,1,"	21,22" 
2017-05-19T19:30:00Z,"SPY",2017-05-19T19:50:00Z,Buy,206.584502225,206.523805834,970,-58.88,9.7,-117.75,75.7,185.04,0,"	23,24" 
2017-05-22T14:00:00Z,"SPY",2017-05-22T14:20:00Z,Buy,207.442922612,207.364884395,965,-75.31,9.65,-108.78,100.41,209.19,0,"	25,26" 
2017-05-22T16:30:00Z,"SPY",2017-05-22T17:35:00Z,Buy,207.659695437,207.598999046,964,-58.51,9.64,-83.59,41.79,108.66,0,"	27,28" 
2017-05-25T15:30:00Z,"SPY",2017-05-25T15:50:00Z,Buy,209.697359992,209.411219863,954,-272.98,9.54,-322.61,33.09,355.7,0,"	29,30" 
2017-05-25T17:00:00Z,"SPY",2017-05-25T17:40:00Z,Buy,209.723372731,209.515270819,951,-197.9,9.51,-247.38,0,247.38,0,"	31,32" 
2017-05-25T18:00:00Z,"SPY",2017-05-25T18:20:00Z,Buy,209.680018166,209.627992688,949,-49.37,9.49,-90.52,0,90.52,0,"	33,34" 
2017-05-31T14:00:00Z,"SPY",2017-05-31T14:50:00Z,Sell,208.942990561,209.14242156,952,-189.86,9.52,-222.88,239.39,462.26,0,"	35,36" 
2017-05-31T16:00:00Z,"SPY",2017-05-31T16:20:00Z,Sell,209.038370604,209.133750647,949,-90.52,9.49,-139.89,0,139.89,0,"	37,38" 
2017-05-31T17:00:00Z,"SPY",2017-05-31T17:20:00Z,Sell,208.9690033,209.029699691,949,-57.6,9.49,-246.86,0,246.86,0,"	39,40" 
2017-06-01T17:00:00Z,"SPY",2017-06-01T19:58:00Z,Buy,210.417045771,210.815907769,942,375.73,9.42,0,383.9,212.37,1,"	41,42" 
2017-06-02T16:00:00Z,"SPY",2017-06-02T18:45:00Z,Buy,211.604960852,211.561606287,940,-40.75,9.4,-122.26,187.47,244.52,0,"	43,44" 
2017-06-02T19:30:00Z,"SPY",2017-06-02T19:58:00Z,Buy,211.709011808,211.604960852,939,-97.7,9.39,-130.27,130.27,260.54,0,"	45,46" 
2017-06-08T14:30:00Z,"SPY",2017-06-08T14:50:00Z,Sell,210.96331329,211.249453419,941,-269.26,9.41,-269.26,0,269.26,0,"	47,48" 
2017-06-09T14:00:00Z,"SPY",2017-06-09T16:30:00Z,Buy,211.986481024,211.839075503,934,-137.68,9.34,-234.86,404.93,639.79,0,"	49,50" 
2017-06-09T18:00:00Z,"SPY",2017-06-09T18:20:00Z,Sell,210.945971464,211.232111593,937,-268.11,9.37,-292.49,0,292.49,0,"	51,52" 
2017-06-09T19:00:00Z,"SPY",2017-06-09T19:58:00Z,Sell,210.234956598,211.128060637,938,-837.73,9.38,-837.73,0,837.73,0,"	53,54" 
2017-06-12T14:00:00Z,"SPY",2017-06-12T15:00:00Z,Sell,210.365020293,210.772553204,929,-378.6,9.29,-402.76,120.83,523.59,0,"	55,56" 
2017-06-12T16:30:00Z,"SPY",2017-06-12T17:30:00Z,Sell,210.425716684,210.581793118,925,-144.37,9.25,-144.37,160.41,304.78,0,"	57,58" 
2017-06-12T18:00:00Z,"SPY",2017-06-12T18:50:00Z,Sell,210.278311163,210.668502248,924,-360.54,9.24,-432.64,0,432.64,0,"	59,60" 
2017-06-13T17:30:00Z,"SPY",2017-06-13T18:00:00Z,Buy,211.934455546,211.839075503,914,-87.18,9.14,-190.21,0,190.21,0,"	61,62" 
2017-06-13T18:30:00Z,"SPY",2017-06-13T19:05:00Z,Buy,211.891100981,211.821733677,913,-63.33,9.13,-95,55.42,150.41,0,"	63,64" 
2017-06-13T19:30:00Z,"SPY",2017-06-13T19:58:00Z,Buy,212.073190154,211.813062764,911,-236.98,9.11,-236.98,7.9,244.88,0,"	65,66" 
2017-06-14T15:00:00Z,"SPY",2017-06-14T16:45:00Z,Sell,211.682999069,211.951797372,911,-244.88,9.11,-252.77,31.6,284.37,0,"	67,68" 
2017-06-14T19:00:00Z,"SPY",2017-06-14T19:58:00Z,Sell,211.318820723,211.74369546,910,-386.64,9.1,-504.99,236.72,741.71,0,"	69,70" 
2017-06-16T14:00:00Z,"SPY",2017-06-16T15:50:00Z,Sell,211.01361362,210.95262199,908,55.38,9.08,-23.73,411.4,435.13,1,"	71,72" 
2017-06-19T14:30:00Z,"SPY",2017-06-19T19:58:00Z,Buy,212.92178033,213.05247668,900,117.63,9,-219.57,243.1,376.41,1,"	73,74" 
