volume,open,high,low,close,caldt
107368271,414.19,414.6,409.21,410.68,2023-10-27 16:00:00
86568775,413.56,416.68,412.22,415.59,2023-10-30 16:00:00
79665172,416.18,418.53,414.21,418.2,2023-10-31 16:00:00
98068196,419.2,423.5,418.65,422.66,2023-11-01 16:00:00
94940712,426.58,430.92,426.56,430.76,2023-11-02 16:00:00
100168022,433.14,436.29,433.01,434.69,2023-11-03 16:00:00
67831814,435.47,436.15,433.68,435.69,2023-11-06 16:00:00
64256128,435.69,437.59,434.51,436.93,2023-11-07 16:00:00
61746154,437.55,438.09,434.87,437.25,2023-11-08 16:00:00
83174428,438.43,438.47,433.4,433.84,2023-11-09 16:00:00
89558494,435.98,440.93,433.83,440.61,2023-11-10 16:00:00
52236316,439.23,441.33,438.42,440.19,2023-11-13 16:00:00
97177980,446.32,450.06,446.09,448.73,2023-11-14 16:00:00
77328473,450.11,451.38,448.8,449.68,2023-11-15 16:00:00
66666779,449.22,450.56,448.12,450.23,2023-11-16 16:00:00
83193961,450.24,451.42,449.29,450.79,2023-11-17 16:00:00
70056050,450.53,455.13,450.52,454.26,2023-11-20 16:00:00
49244885,453.18,454.13,451.96,453.27,2023-11-21 16:00:00
59447113,454.98,456.38,453.89,455.02,2023-11-22 16:00:00
29738094,455.07,455.5,454.73,455.3,2023-11-24 16:00:00
50506665,454.65,455.49,454.08,454.48,2023-11-27 16:00:00
62115124,454.08,456.27,453.5,454.93,2023-11-28 16:00:00
63146095,457.15,458.32,454.2,454.61,2023-11-29 16:00:00
79753448,455.48,456.76,453.34,456.4,2023-11-30 16:00:00
89191985,455.77,459.65,455.16,459.1,2023-12-01 16:00:00
72431000,455.6,456.94,454.34,456.69,2023-12-04 16:00:00
69793495,455.26,457.59,454.87,456.6,2023-12-05 16:00:00
69125908,458.81,458.84,454.31,454.76,2023-12-06 16:00:00
67005550,456.91,458.9,456.29,458.23,2023-12-07 16:00:00
83195199,457.46,460.75,457.21,460.2,2023-12-08 16:00:00
65002707,459.69,462.17,459.47,461.99,2023-12-11 16:00:00
68327733,461.63,464.2,460.6,464.1,2023-12-12 16:00:00
93278951,464.49,470.76,464.12,470.5,2023-12-13 16:00:00
119027559,472.5,473.73,469.25,472.01,2023-12-14 16:00:00
141554000,469.49,470.7,468.44,469.33,2023-12-15 16:00:00
70375792,470.98,472.98,469.89,471.97,2023-12-18 16:00:00
55762040,472.53,474.92,472.45,474.84,2023-12-19 16:00:00
102924835,473.96,475.9,467.82,468.26,2023-12-20 16:00:00
86667547,471.33,472.98,468.84,472.7,2023-12-21 16:00:00
67160419,473.86,475.38,471.7,473.65,2023-12-22 16:00:00
55386972,474.07,476.58,473.99,475.65,2023-12-26 16:00:00
68006610,475.44,476.66,474.89,476.51,2023-12-27 16:00:00
77158761,476.88,477.55,476.26,476.69,2023-12-28 16:00:00
122289510,476.49,477.03,473.3,475.31,2023-12-29 16:00:00
123007832,472.16,473.67,470.49,472.65,2024-01-02 16:00:00
103585877,470.43,471.19,468.17,468.79,2024-01-03 16:00:00
84232642,468.3,470.96,467.05,467.28,2024-01-04 16:00:00
86119533,467.49,470.44,466.43,467.92,2024-01-05 16:00:00
74880048,468.43,474.75,468.3,474.6,2024-01-08 16:00:00
65931441,471.87,474.93,471.35,473.88,2024-01-09 16:00:00
67314651,474.16,477.45,473.87,476.56,2024-01-10 16:00:00
77941758,477.59,478.12,472.26,476.35,2024-01-11 16:00:00
58026865,477.84,478.6,475.23,476.68,2024-01-12 16:00:00
85015390,475.26,476.61,473.06,474.93,2024-01-16 16:00:00
68843924,471.82,472.79,469.87,472.29,2024-01-17 16:00:00
91860488,474.01,477.06,472.42,476.49,2024-01-18 16:00:00
110839923,477.65,482.72,476.54,482.43,2024-01-19 16:00:00
75845045,484.01,485.22,482.78,483.45,2024-01-22 16:00:00
49946424,484.01,485.11,482.89,484.86,2024-01-23 16:00:00
81765088,487.81,488.77,484.88,485.39,2024-01-24 16:00:00
72525116,487.58,488.31,485.39,488.03,2024-01-25 16:00:00
76643326,487.59,489.12,486.54,487.41,2024-01-26 16:00:00
61322916,487.73,491.42,487.17,491.27,2024-01-29 16:00:00
58618504,490.56,491.62,490.11,490.89,2024-01-30 16:00:00
126012052,488.62,489.08,482.86,482.88,2024-01-31 16:00:00
91892046,484.63,489.23,483.8,489.2,2024-02-01 16:00:00
99228437,489.65,496.05,489.3,494.35,2024-02-02 16:00:00
75757911,493.7,494.38,490.23,492.55,2024-02-05 16:00:00
55918808,493.52,494.32,492.05,493.98,2024-02-06 16:00:00
70556730,496.29,498.53,495.36,498.1,2024-02-07 16:00:00
52343788,498.1,498.71,497.26,498.32,2024-02-08 16:00:00
63979437,498.84,501.65,498.49,501.2,2024-02-09 16:00:00
56502506,501.17,503.5,500.24,500.98,2024-02-12 16:00:00
113099000,494.53,495.85,490.72,494.08,2024-02-13 16:00:00
68388764,496.79,499.07,494.4,498.57,2024-02-14 16:00:00
61683156,499.29,502.2,498.8,502.01,2024-02-15 16:00:00
75535138,501.7,502.87,498.75,499.51,2024-02-16 16:00:00
71736857,497.72,498.41,494.45,496.76,2024-02-20 16:00:00
59604468,495.42,497.37,493.56,497.21,2024-02-21 16:00:00
76402642,504.01,508.49,503.02,507.5,2024-02-22 16:00:00
61322833,509.27,510.13,507.1,507.85,2024-02-23 16:00:00
50386806,508.3,508.75,505.86,505.99,2024-02-26 16:00:00
48855063,506.7,507.16,504.75,506.93,2024-02-27 16:00:00
56507648,505.33,506.86,504.96,506.26,2024-02-28 16:00:00
83924946,508.07,509.74,505.35,508.08,2024-02-29 16:00:00
76844878,508.98,513.29,508.56,512.85,2024-03-01 16:00:00
49799502,512.03,514.2,512.0,512.3,2024-03-04 16:00:00
72855975,510.24,510.7,504.91,507.18,2024-03-05 16:00:00
68382378,510.55,512.07,508.42,509.75,2024-03-06 16:00:00
58652294,513.14,515.89,509.81,514.81,2024-03-07 16:00:00
86533898,515.46,518.22,511.13,511.72,2024-03-08 16:00:00
62558018,510.48,511.88,508.5,511.28,2024-03-11 16:00:00
73114492,513.45,517.38,510.86,516.78,2024-03-12 16:00:00
55104436,517.11,517.29,514.49,515.97,2024-03-13 16:00:00
110196172,516.97,517.13,511.82,514.95,2024-03-14 16:00:00
107646418,510.21,511.7,508.12,509.83,2024-03-15 16:00:00
88893352,514.0,515.48,512.44,512.86,2024-03-18 16:00:00
60755448,512.15,516.0,511.12,515.71,2024-03-19 16:00:00
69597534,515.77,520.62,515.08,520.48,2024-03-20 16:00:00
60257114,523.39,524.11,521.91,522.2,2024-03-21 16:00:00
79070883,522.11,522.61,520.97,521.21,2024-03-22 16:00:00
48512418,519.8,520.95,519.61,519.77,2024-03-25 16:00:00
65463884,521.23,521.58,518.4,518.81,2024-03-26 16:00:00
82999805,521.71,523.21,519.49,523.17,2024-03-27 16:00:00
96296621,523.21,524.61,522.78,523.07,2024-03-28 16:00:00
62477610,523.83,524.38,520.97,522.16,2024-04-01 16:00:00
74230616,518.24,518.98,516.48,518.84,2024-04-02 16:00:00
59156782,517.72,520.95,517.67,519.41,2024-04-03 16:00:00
96859849,523.52,523.87,512.76,513.07,2024-04-04 16:00:00
74546621,514.46,520.44,514.01,518.43,2024-04-05 16:00:00
48402995,519.15,520.18,517.89,518.72,2024-04-08 16:00:00
68124442,520.5,520.75,514.35,519.32,2024-04-09 16:00:00
82654820,513.48,516.16,512.09,514.12,2024-04-10 16:00:00
70099021,515.68,519.48,512.08,518.0,2024-04-11 16:00:00
92563158,514.37,515.82,509.08,510.85,2024-04-12 16:00:00
92102000,515.13,515.3,503.58,504.45,2024-04-15 16:00:00
73484044,504.94,506.5,502.21,503.53,2024-04-16 16:00:00
75910388,506.05,506.22,499.12,500.55,2024-04-17 16:00:00
74554916,501.98,504.13,498.56,499.52,2024-04-18 16:00:00
102212704,499.44,500.46,493.86,495.16,2024-04-19 16:00:00
67961308,497.83,502.38,495.43,499.72,2024-04-22 16:00:00
64633700,501.78,506.09,499.53,505.65,2024-04-23 16:00:00
55930333,506.56,507.37,503.13,505.41,2024-04-24 16:00:00
69123101,499.18,504.27,497.49,503.49,2024-04-25 16:00:00
64307256,506.35,509.88,505.7,508.26,2024-04-26 16:00:00
46415505,510.09,510.75,507.25,510.06,2024-04-29 16:00:00
77485041,508.56,509.56,501.98,501.98,2024-04-30 16:00:00
80242977,501.38,508.19,499.87,500.35,2024-05-01 16:00:00
62550794,504.15,505.89,499.55,505.03,2024-05-02 16:00:00
72757109,511.16,512.55,508.56,511.29,2024-05-03 16:00:00
47264747,513.75,516.61,513.3,516.57,2024-05-06 16:00:00
52561418,517.56,518.57,516.45,517.14,2024-05-07 16:00:00
42047219,515.26,517.74,515.14,517.19,2024-05-08 16:00:00
43643993,517.38,520.21,516.71,520.17,2024-05-09 16:00:00
52235398,521.81,522.64,519.59,520.84,2024-05-10 16:00:00
36716421,522.56,522.67,519.74,520.91,2024-05-13 16:00:00
57536395,521.11,523.83,520.56,523.3,2024-05-14 16:00:00
59505247,525.83,530.08,525.18,529.78,2024-05-15 16:00:00
50245880,529.88,531.52,528.54,528.69,2024-05-16 16:00:00
59187845,528.81,529.52,527.32,529.45,2024-05-17 16:00:00
37765781,529.57,531.56,529.17,530.06,2024-05-20 16:00:00
33437358,529.28,531.52,529.07,531.36,2024-05-21 16:00:00
48391246,530.65,531.38,527.6,529.83,2024-05-22 16:00:00
57211210,532.96,533.07,524.72,525.96,2024-05-23 16:00:00
41301441,527.85,530.27,526.88,529.44,2024-05-24 16:00:00
36299306,530.27,530.51,527.11,529.81,2024-05-28 16:00:00
45190545,525.68,527.31,525.37,526.1,2024-05-29 16:00:00
46468798,524.52,525.2,521.33,522.61,2024-05-30 16:00:00
90788723,523.59,527.5,518.36,527.37,2024-05-31 16:00:00
46835898,529.02,529.31,522.6,527.8,2024-06-03 16:00:00
34633270,526.46,529.15,524.96,528.39,2024-06-04 16:00:00
47610368,530.77,534.69,528.73,534.67,2024-06-05 16:00:00
30809211,534.98,535.42,532.68,534.66,2024-06-06 16:00:00
43224771,533.66,536.89,532.54,534.01,2024-06-07 16:00:00
35729481,533.18,535.99,532.57,535.66,2024-06-10 16:00:00
36383500,534.07,537.4,532.05,536.95,2024-06-11 16:00:00
63251464,541.63,544.12,540.3,541.36,2024-06-12 16:00:00
44761037,543.15,543.33,539.59,542.45,2024-06-13 16:00:00
40090639,540.88,542.81,539.85,542.78,2024-06-14 16:00:00
55839490,542.08,548.53,541.61,547.1,2024-06-17 16:00:00
41377600,547.16,548.62,546.73,548.49,2024-06-18 16:00:00
70330955,549.44,550.12,545.18,547.0,2024-06-20 16:00:00
64516808,544.4,545.65,543.02,544.51,2024-06-21 16:00:00
45528713,544.33,546.95,542.62,542.74,2024-06-24 16:00:00
38287808,543.99,545.2,542.44,544.83,2024-06-25 16:00:00
38551931,543.69,546.24,543.03,545.51,2024-06-26 16:00:00
35041548,545.37,546.96,544.61,546.37,2024-06-27 16:00:00
76146572,547.16,550.28,542.95,544.22,2024-06-28 16:00:00
40298908,545.63,545.88,542.52,545.34,2024-07-01 16:00:00
40435739,543.7,549.01,543.65,549.01,2024-07-02 16:00:00
32792165,548.69,551.83,548.65,551.46,2024-07-03 16:00:00
41489284,551.77,555.05,551.12,554.64,2024-07-05 16:00:00
36111750,555.44,556.25,554.19,555.28,2024-07-08 16:00:00
27314162,556.26,557.18,555.52,555.82,2024-07-09 16:00:00
38701595,557.07,561.67,556.77,561.32,2024-07-10 16:00:00
53054237,561.44,562.33,555.83,556.48,2024-07-11 16:00:00
53087862,557.63,563.67,557.15,559.99,2024-07-12 16:00:00
40584865,562.03,564.84,559.63,561.53,2024-07-15 16:00:00
36476691,562.87,565.16,562.1,564.86,2024-07-16 16:00:00
57119135,558.8,560.51,556.61,556.94,2024-07-17 16:00:00
56304827,558.51,559.52,550.43,552.66,2024-07-18 16:00:00
65511216,552.42,554.08,547.91,548.99,2024-07-19 16:00:00
43346906,553.0,555.27,551.02,554.65,2024-07-22 16:00:00
34440913,554.54,556.74,553.28,553.78,2024-07-23 16:00:00
74519177,548.86,549.17,540.29,541.23,2024-07-24 16:00:00
61158836,541.35,547.46,537.45,538.41,2024-07-25 16:00:00
53764430,542.28,547.19,541.49,544.44,2024-07-26 16:00:00
39519076,546.02,547.05,542.72,544.76,2024-07-29 16:00:00
46854067,546.26,547.34,538.52,542.0,2024-07-30 16:00:00
65663559,548.98,553.5,547.58,550.81,2024-07-31 16:00:00
76430040,552.57,554.87,539.43,543.01,2024-08-01 16:00:00
82847936,535.75,536.99,528.6,532.9,2024-08-02 16:00:00
146269527,511.64,523.58,510.27,517.38,2024-08-05 16:00:00
84829353,519.22,529.75,517.87,522.15,2024-08-06 16:00:00
70698917,528.47,531.59,518.05,518.66,2024-08-07 16:00:00
63276604,523.91,531.29,521.84,530.65,2024-08-08 16:00:00
45622644,529.81,534.51,528.56,532.99,2024-08-09 16:00:00
42543210,534.21,535.73,530.95,533.27,2024-08-12 16:00:00
52333266,536.53,542.28,536.28,542.04,2024-08-13 16:00:00
