"Date","Time","Open","High","Low","Close","Vol","OI"
10/27/2023,16:00,414.19,414.60,409.21,410.68,107368271,0
10/30/2023,16:00,413.56,416.68,412.22,415.59,86568775,0
10/31/2023,16:00,416.18,418.53,414.21,418.20,79665172,0
11/01/2023,16:00,419.20,423.50,418.65,422.66,98068196,0
11/02/2023,16:00,426.58,430.92,426.56,430.76,94940712,0
11/03/2023,16:00,433.14,436.29,433.01,434.69,100168022,0
11/06/2023,16:00,435.47,436.15,433.68,435.69,67831814,0
11/07/2023,16:00,435.69,437.59,434.51,436.93,64256128,0
11/08/2023,16:00,437.55,438.09,434.87,437.25,61746154,0
11/09/2023,16:00,438.43,438.47,433.40,433.84,83174428,0
11/10/2023,16:00,435.98,440.93,433.83,440.61,89558494,0
11/13/2023,16:00,439.23,441.33,438.42,440.19,52236316,0
11/14/2023,16:00,446.32,450.06,446.09,448.73,97177980,0
11/15/2023,16:00,450.11,451.38,448.80,449.68,77328473,0
11/16/2023,16:00,449.22,450.56,448.12,450.23,66666779,0
11/17/2023,16:00,450.24,451.42,449.29,450.79,83193961,0
11/20/2023,16:00,450.53,455.13,450.52,454.26,70056050,0
11/21/2023,16:00,453.18,454.13,451.96,453.27,49244885,0
11/22/2023,16:00,454.98,456.38,453.89,455.02,59447113,0
11/24/2023,16:00,455.07,455.50,454.73,455.30,29738094,0
11/27/2023,16:00,454.65,455.49,454.08,454.48,50506665,0
11/28/2023,16:00,454.08,456.27,453.50,454.93,62115124,0
11/29/2023,16:00,457.15,458.32,454.20,454.61,63146095,0
11/30/2023,16:00,455.48,456.76,453.34,456.40,79753448,0
12/01/2023,16:00,455.77,459.65,455.16,459.10,89191985,0
12/04/2023,16:00,455.60,456.94,454.34,456.69,72431000,0
12/05/2023,16:00,455.26,457.59,454.87,456.60,69793495,0
12/06/2023,16:00,458.81,458.84,454.31,454.76,69125908,0
12/07/2023,16:00,456.91,458.90,456.29,458.23,67005550,0
12/08/2023,16:00,457.46,460.75,457.21,460.20,83195199,0
12/11/2023,16:00,459.69,462.17,459.47,461.99,65002707,0
12/12/2023,16:00,461.63,464.20,460.60,464.10,68327733,0
12/13/2023,16:00,464.49,470.76,464.12,470.50,93278951,0
12/14/2023,16:00,472.50,473.73,469.25,472.01,119027559,0
12/15/2023,16:00,469.49,470.70,468.44,469.33,141554000,0
12/18/2023,16:00,470.98,472.98,469.89,471.97,70375792,0
12/19/2023,16:00,472.53,474.92,472.45,474.84,55762040,0
12/20/2023,16:00,473.96,475.90,467.82,468.26,102924835,0
12/21/2023,16:00,471.33,472.98,468.84,472.70,86667547,0
12/22/2023,16:00,473.86,475.38,471.70,473.65,67160419,0
12/26/2023,16:00,474.07,476.58,473.99,475.65,55386972,0
12/27/2023,16:00,475.44,476.66,474.89,476.51,68006610,0
12/28/2023,16:00,476.88,477.55,476.26,476.69,77158761,0
12/29/2023,16:00,476.49,477.03,473.30,475.31,122289510,0
01/02/2024,16:00,472.16,473.67,470.49,472.65,123007832,0
01/03/2024,16:00,470.43,471.19,468.17,468.79,103585877,0
01/04/2024,16:00,468.30,470.96,467.05,467.28,84232642,0
01/05/2024,16:00,467.49,470.44,466.43,467.92,86119533,0
01/08/2024,16:00,468.43,474.75,468.30,474.60,74880048,0
01/09/2024,16:00,471.87,474.93,471.35,473.88,65931441,0
01/10/2024,16:00,474.16,477.45,473.87,476.56,67314651,0
01/11/2024,16:00,477.59,478.12,472.26,476.35,77941758,0
01/12/2024,16:00,477.84,478.60,475.23,476.68,58026865,0
01/16/2024,16:00,475.26,476.61,473.06,474.93,85015390,0
01/17/2024,16:00,471.82,472.79,469.87,472.29,68843924,0
01/18/2024,16:00,474.01,477.06,472.42,476.49,91860488,0
01/19/2024,16:00,477.65,482.72,476.54,482.43,110839923,0
01/22/2024,16:00,484.01,485.22,482.78,483.45,75845045,0
01/23/2024,16:00,484.01,485.11,482.89,484.86,49946424,0
01/24/2024,16:00,487.81,488.77,484.88,485.39,81765088,0
01/25/2024,16:00,487.58,488.31,485.39,488.03,72525116,0
01/26/2024,16:00,487.59,489.12,486.54,487.41,76643326,0
01/29/2024,16:00,487.73,491.42,487.17,491.27,61322916,0
01/30/2024,16:00,490.56,491.62,490.11,490.89,58618504,0
01/31/2024,16:00,488.62,489.08,482.86,482.88,126012052,0
02/01/2024,16:00,484.63,489.23,483.80,489.20,91892046,0
02/02/2024,16:00,489.65,496.05,489.30,494.35,99228437,0
02/05/2024,16:00,493.70,494.38,490.23,492.55,75757911,0
02/06/2024,16:00,493.52,494.32,492.05,493.98,55918808,0
02/07/2024,16:00,496.29,498.53,495.36,498.10,70556730,0
02/08/2024,16:00,498.10,498.71,497.26,498.32,52343788,0
02/09/2024,16:00,498.84,501.65,498.49,501.20,63979437,0
02/12/2024,16:00,501.17,503.50,500.24,500.98,56502506,0
02/13/2024,16:00,494.53,495.85,490.72,494.08,113099000,0
02/14/2024,16:00,496.79,499.07,494.40,498.57,68388764,0
02/15/2024,16:00,499.29,502.20,498.80,502.01,61683156,0
02/16/2024,16:00,501.70,502.87,498.75,499.51,75535138,0
02/20/2024,16:00,497.72,498.41,494.45,496.76,71736857,0
02/21/2024,16:00,495.42,497.37,493.56,497.21,59604468,0
02/22/2024,16:00,504.01,508.49,503.02,507.50,76402642,0
02/23/2024,16:00,509.27,510.13,507.10,507.85,61322833,0
02/26/2024,16:00,508.30,508.75,505.86,505.99,50386806,0
02/27/2024,16:00,506.70,507.16,504.75,506.93,48855063,0
02/28/2024,16:00,505.33,506.86,504.96,506.26,56507648,0
02/29/2024,16:00,508.07,509.74,505.35,508.08,83924946,0
03/01/2024,16:00,508.98,513.29,508.56,512.85,76844878,0
03/04/2024,16:00,512.03,514.20,512.00,512.30,49799502,0
03/05/2024,16:00,510.24,510.70,504.91,507.18,72855975,0
03/06/2024,16:00,510.55,512.07,508.42,509.75,68382378,0
03/07/2024,16:00,513.14,515.89,509.81,514.81,58652294,0
03/08/2024,16:00,515.46,518.22,511.13,511.72,86533898,0
03/11/2024,16:00,510.48,511.88,508.50,511.28,62558018,0
03/12/2024,16:00,513.45,517.38,510.86,516.78,73114492,0
03/13/2024,16:00,517.11,517.29,514.49,515.97,55104436,0
03/14/2024,16:00,516.97,517.13,511.82,514.95,110196172,0
03/15/2024,16:00,510.21,511.70,508.12,509.83,107646418,0
03/18/2024,16:00,514.00,515.48,512.44,512.86,88893352,0
03/19/2024,16:00,512.15,516.00,511.12,515.71,60755448,0
03/20/2024,16:00,515.77,520.62,515.08,520.48,69597534,0
03/21/2024,16:00,523.39,524.11,521.91,522.20,60257114,0
03/22/2024,16:00,522.11,522.61,520.97,521.21,79070883,0
03/25/2024,16:00,519.80,520.95,519.61,519.77,48512418,0
03/26/2024,16:00,521.23,521.58,518.40,518.81,65463884,0
03/27/2024,16:00,521.71,523.21,519.49,523.17,82999805,0
03/28/2024,16:00,523.21,524.61,522.78,523.07,96296621,0
04/01/2024,16:00,523.83,524.38,520.97,522.16,62477610,0
04/02/2024,16:00,518.24,518.98,516.48,518.84,74230616,0
04/03/2024,16:00,517.72,520.95,517.67,519.41,59156782,0
04/04/2024,16:00,523.52,523.87,512.76,513.07,96859849,0
04/05/2024,16:00,514.46,520.44,514.01,518.43,74546621,0
04/08/2024,16:00,519.15,520.18,517.89,518.72,48402995,0
04/09/2024,16:00,520.50,520.75,514.35,519.32,68124442,0
04/10/2024,16:00,513.48,516.16,512.09,514.12,82654820,0
04/11/2024,16:00,515.68,519.48,512.08,518.00,70099021,0
04/12/2024,16:00,514.37,515.82,509.08,510.85,92563158,0
04/15/2024,16:00,515.13,515.30,503.58,504.45,92102000,0
04/16/2024,16:00,504.94,506.50,502.21,503.53,73484044,0
04/17/2024,16:00,506.05,506.22,499.12,500.55,75910388,0
04/18/2024,16:00,501.98,504.13,498.56,499.52,74554916,0
04/19/2024,16:00,499.44,500.46,493.86,495.16,102212704,0
04/22/2024,16:00,497.83,502.38,495.43,499.72,67961308,0
04/23/2024,16:00,501.78,506.09,499.53,505.65,64633700,0
