timestamp,day,side,qty,price_open,price_exec,commission,slippage_cost,shares_after,cash_after
2023-12-26 15:00:00+00:00,2023-12-26,BUY,844,474.68,474.68,2.954,0.0,844,-300632.874
2023-12-26 15:30:00+00:00,2023-12-26,SELL,-844,474.87,474.87,2.954,-0.0,0,100154.45200000002
2023-12-26 17:00:00+00:00,2023-12-26,BUY,844,475.08,475.08,2.954,0.0,844,-300816.022
2023-12-26 17:30:00+00:00,2023-12-26,SELL,-844,475.07,475.07,2.954,-0.0,0,100140.10400000002
2023-12-26 20:30:00+00:00,2023-12-26,BUY,844,476.2,476.2,2.954,0.0,844,-301775.65
2023-12-26 21:00:00+00:00,2023-12-26,SELL,-844,475.59,475.59,2.954,-0.0,0,99619.35599999994
2023-12-29 16:00:00+00:00,2023-12-29,SELL,-640,475.45,475.45,2.24,-0.0,-640,403905.1159999999
2023-12-29 19:30:00+00:00,2023-12-29,BUY,640,475.05,475.05,2.24,0.0,0,99870.87599999992
2024-01-03 15:00:00+00:00,2024-01-03,SELL,-616,469.95,469.95,2.156,-0.0,-616,389357.9199999999
2024-01-03 16:30:00+00:00,2024-01-03,BUY,616,469.7,469.7,2.156,0.0,0,100020.56399999991
2024-01-03 17:00:00+00:00,2024-01-03,SELL,-616,469.26,469.26,2.156,-0.0,-616,389082.56799999985
2024-01-03 17:30:00+00:00,2024-01-03,BUY,616,469.58,469.58,2.156,0.0,0,99819.13199999988
2024-01-04 15:30:00+00:00,2024-01-04,BUY,583,469.76,469.76,2.0405,0.0,583,-174052.98850000015
2024-01-04 17:30:00+00:00,2024-01-04,SELL,-583,469.6088,469.6088,2.0405,-0.0,0,99726.90139999986
2024-01-05 15:00:00+00:00,2024-01-05,BUY,583,468.15,468.15,2.0405,0.0,583,-173206.58910000016
2024-01-05 16:30:00+00:00,2024-01-05,SELL,-583,469.13,469.13,2.0405,-0.0,0,100294.16039999982
2024-01-08 15:00:00+00:00,2024-01-08,BUY,676,469.73,469.73,2.366,0.0,676,-217245.68560000023
2024-01-10 16:00:00+00:00,2024-01-10,SELL,-65,475.23,475.23,0.35,-0.0,611,-186356.08560000022
2024-01-10 16:30:00+00:00,2024-01-10,SELL,-611,474.79,474.79,2.1385,-0.0,0,103738.46589999978
2024-01-10 18:00:00+00:00,2024-01-10,BUY,611,475.39,475.39,2.1385,0.0,611,-186726.9626000002
2024-01-10 18:30:00+00:00,2024-01-10,SELL,-611,475.31,475.31,2.1385,-0.0,0,103685.30889999977
2024-01-10 19:00:00+00:00,2024-01-10,BUY,611,475.76,475.76,2.1385,0.0,611,-187006.18960000022
2024-01-11 15:30:00+00:00,2024-01-11,SELL,-1219,474.99,474.99,4.2665,-0.0,-608,392002.3538999998
2024-01-11 18:30:00+00:00,2024-01-11,BUY,608,474.76,474.76,2.128,0.0,0,103346.1458999998
2024-01-16 18:00:00+00:00,2024-01-16,SELL,-771,473.96,473.96,2.6985,-0.0,-771,468766.6073999998
2024-01-16 18:30:00+00:00,2024-01-16,BUY,771,475.01,475.01,2.6985,0.0,0,102531.19889999978
2024-01-16 19:00:00+00:00,2024-01-16,SELL,-771,474.07,474.07,2.6985,-0.0,-771,468036.47039999976
2024-01-16 20:00:00+00:00,2024-01-16,BUY,771,474.28,474.28,2.6985,0.0,0,102363.89189999975
2024-01-18 19:30:00+00:00,2024-01-18,BUY,801,475.62,475.62,2.8035,0.0,801,-278610.5316000002
2024-01-19 17:30:00+00:00,2024-01-19,SELL,-48,479.38,479.38,0.35,-0.0,753,-255600.64160000024
2024-01-22 15:00:00+00:00,2024-01-22,SELL,-83,485.0199,485.0199,0.35,-0.0,670,-215344.33990000022
2024-01-22 15:30:00+00:00,2024-01-22,SELL,-670,484.38,484.38,2.345,-0.0,0,109187.91509999975
2024-01-29 20:30:00+00:00,2024-01-29,BUY,800,490.94,490.94,2.8000000000000003,0.0,800,-283566.88490000024
2024-01-31 15:00:00+00:00,2024-01-31,SELL,-1694,487.73,487.73,5.929,-0.0,-894,542641.8060999997
2024-01-31 19:00:00+00:00,2024-01-31,BUY,894,487.43,487.43,3.129,0.0,0,106876.25709999971
2024-01-31 19:30:00+00:00,2024-01-31,SELL,-894,486.15,486.15,3.129,-0.0,-894,541491.2280999997
2024-02-01 15:30:00+00:00,2024-02-01,BUY,1546,486.18,486.18,5.4110000000000005,0.0,652,-210148.4629000003
2024-02-01 16:00:00+00:00,2024-02-01,SELL,-652,484.08,484.08,2.282,-0.0,0,105469.41509999966
2024-02-01 17:00:00+00:00,2024-02-01,BUY,652,485.715,485.715,2.282,0.0,652,-211219.04690000034
2024-02-02 15:00:00+00:00,2024-02-02,SELL,-68,490.43,490.43,0.35,-0.0,584,-177870.15690000035
2024-02-05 15:30:00+00:00,2024-02-05,SELL,-1161,491.4,491.4,4.0635,-0.0,-577,392641.1795999997
2024-02-05 17:00:00+00:00,2024-02-05,BUY,577,492.14,492.14,2.0195,0.0,0,108674.38009999972
2024-02-07 15:30:00+00:00,2024-02-07,BUY,566,497.96,497.96,1.981,0.0,566,-173172.96090000027
2024-02-07 16:30:00+00:00,2024-02-07,SELL,-566,497.14,497.14,1.981,-0.0,0,108206.29809999972
2024-02-07 17:00:00+00:00,2024-02-07,BUY,566,497.59,497.59,1.981,0.0,566,-173431.62290000028
2024-02-07 17:30:00+00:00,2024-02-07,SELL,-566,497.32,497.32,1.981,-0.0,0,108049.51609999972
2024-02-07 18:00:00+00:00,2024-02-07,BUY,566,497.56,497.56,1.981,0.0,566,-173571.4249000003
2024-02-07 19:30:00+00:00,2024-02-07,SELL,-566,497.96,497.96,1.981,-0.0,0,108271.95409999968
2024-02-07 20:00:00+00:00,2024-02-07,BUY,566,498.33,498.33,1.981,0.0,566,-173784.8069000003
2024-02-07 20:30:00+00:00,2024-02-07,SELL,-566,498.15,498.15,1.981,-0.0,0,108166.11209999968
2024-02-09 15:00:00+00:00,2024-02-09,BUY,586,499.5,499.5,2.051,0.0,586,-184542.93890000033
2024-02-09 15:30:00+00:00,2024-02-09,SELL,-586,499.66,499.66,2.051,-0.0,0,108255.77009999967
2024-02-09 16:00:00+00:00,2024-02-09,BUY,586,499.97,499.97,2.051,0.0,586,-184728.70090000037
2024-02-09 17:00:00+00:00,2024-02-09,SELL,-586,499.58,499.58,2.051,-0.0,0,108023.12809999962
2024-02-09 17:30:00+00:00,2024-02-09,BUY,586,500.13,500.13,2.051,0.0,586,-185055.10290000038
2024-02-12 16:30:00+00:00,2024-02-12,BUY,42,502.89,502.89,0.35,0.0,628,-206176.8329000004
2024-02-12 19:00:00+00:00,2024-02-12,SELL,-628,502.08,502.08,2.198,-0.0,0,109127.2090999996
2024-02-13 15:00:00+00:00,2024-02-13,SELL,-636,493.825,493.825,2.226,-0.0,-636,423197.68309999956
2024-02-13 15:30:00+00:00,2024-02-13,BUY,636,494.895,494.895,2.226,0.0,0,108442.23709999959
2024-02-13 19:30:00+00:00,2024-02-13,SELL,-636,492.1,492.1,2.226,-0.0,-636,421415.61109999963
